city,vendor_id,brand_name,vendor_name,vertical,latitude,longitude
Asia,209764,Usams,Usams Asia,cross_vertical,-12.7620000839233,-76.6013031005859
Asia,221272,Pescados Capitales,Pescados Capitales	Asia Viv,restaurants,-12.7629995346069,-76.6003036499023
Asia,209734,El Hornero Asia,El Hornero Boulevard De Asia,restaurants,-12.760800361633303,-76.602699279785213
Asia,209723,Asia Market,Asia Market,cross_vertical,-12.7604999542236,-76.6011962890625
Asia,209750,Vivanda,Vivanda A La Carta Asia,restaurants,-12.7629995346069,-76.6007995605469
Asia,207466,Bembos,Bembos Asia,restaurants,-12.7621002197266,-76.6024017333984
Asia,209708,Juicy Lucy,Juicy Lucy Asia,restaurants,-12.7621002197266,-76.603401184082
Asia,220494,Envíos,Envios Asia,courier,-12.7593002319336,-76.6013031005859
Ica,208649,Gelarti,Gelarti Los Maestros,restaurants,-14.074899673461898,-75.7394027709961
Ica,208904,Oishi Sushi Bar,Oishi Sushi Bar,restaurants,-14.073900222778297,-75.7276000976562
Ica,249845,La Tomatina Pizzas,La Tomatina Pizzas,restaurants,-14.0736999511719,-75.727897644043
Ica,293380,La Frutita,La Frutita,restaurants,-14.0676002502441,-75.7296981811523
Ica,209507,El Corralito San Martín,El Corralito La Union,restaurants,-14.076000213623098,-75.7266998291016
Ica,285330,Roky's,Rokys Ica 2,restaurants,-14.0656995773315,-75.7372970581055
Ica,266087,Black Monkey Restobar,Black Monkey Restobar,restaurants,-14.0661001205444,-75.739501953125
Ica,295604,,Dulce Pecado,restaurants,-14.0844001770019,-75.736801147460909
Ica,207590,Chocolates Helena,Chocolates Helena Nicolas De Rivera,groceries,-14.0743999481201,-75.7251968383789
Ica,264098,Punto Pizza,Punto Pizza Casuarinas,restaurants,-14.096599578857402,-75.7231979370117
Ica,287051,,Totos Pizzacourier Lima,courier_business,-14.0457000732422,-75.7497024536133
Ica,219518,Promart Homecenter,Promart Homecenter Ica,cross_vertical,-14.0760002136231,-75.737602233886719
Ica,293502,Gordos Chiken's,Gordos Chikens San Isidro,restaurants,-14.072500228881802,-75.7287979125977
Ica,208642,Papa John's,Papa Johns Ica El Quinde,restaurants,-14.0749998092651,-75.7394027709961
Ica,265425,Sra. Buendia,Sra Buendia Av San Martin,restaurants,-14.0743999481201,-75.7272033691406
Ica,285339,Roky's,Rokys Ica 4,restaurants,-14.063899993896499,-75.7285003662109
Ica,220502,Envíos,Envios Ica,courier,-14.075200080871603,-75.7350006103516
Ica,231236,Peñonetti Pizzas And Wine-Bar,Penonetti Pizzas And Winebar,restaurants,-14.0766000747681,-75.7397003173828
